location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,Region,Income group,new_cases,new_deaths,reproduction_rate,aged_65_older,hospital_beds_per_thousand,population,population_density,median_age,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,pop_vax_percent,cluster
Afghanistan,AFG,2021-02-22,0.0,0.0,0.0,0.0,0.0,South Asia,Low income,13.0,1.0,0.8,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-02-23,0.0,0.0,0.0,0.0,1367.0,South Asia,Low income,29.0,2.0,0.82,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-02-24,0.0,0.0,0.0,0.0,1367.0,South Asia,Low income,18.0,1.0,0.83,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-02-25,0.0,0.0,0.0,0.0,1367.0,South Asia,Low income,16.0,2.0,0.84,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-02-26,0.0,0.0,0.0,0.0,1367.0,South Asia,Low income,16.0,4.0,0.85,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-02-27,0.0,0.0,0.0,0.0,1367.0,South Asia,Low income,11.0,1.0,0.87,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-02-28,8200.0,8200.0,0.0,0.0,1367.0,South Asia,Low income,7.0,0.0,0.9,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-01,0.0,0.0,0.0,0.0,1580.0,South Asia,Low income,19.0,1.0,0.93,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-02,0.0,0.0,0.0,0.0,1794.0,South Asia,Low income,26.0,2.0,0.96,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-03,0.0,0.0,0.0,0.0,2008.0,South Asia,Low income,11.0,0.0,0.97,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-04,0.0,0.0,0.0,0.0,2221.0,South Asia,Low income,5.0,0.0,0.99,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-05,0.0,0.0,0.0,0.0,2435.0,South Asia,Low income,52.0,3.0,1.03,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-06,0.0,0.0,0.0,0.0,2649.0,South Asia,Low income,13.0,0.0,1.03,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-07,0.0,0.0,0.0,0.0,2862.0,South Asia,Low income,7.0,0.0,1.03,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-08,0.0,0.0,0.0,0.0,2862.0,South Asia,Low income,29.0,2.0,1.03,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-09,0.0,0.0,0.0,0.0,2862.0,South Asia,Low income,0.0,0.0,1.03,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-10,0.0,0.0,0.0,0.0,2862.0,South Asia,Low income,18.0,0.0,1.05,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-11,0.0,0.0,0.0,0.0,2862.0,South Asia,Low income,23.0,0.0,1.07,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-12,0.0,0.0,0.0,0.0,2862.0,South Asia,Low income,42.0,3.0,1.08,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-13,0.0,0.0,0.0,0.0,2862.0,South Asia,Low income,0.0,0.0,1.08,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-14,0.0,0.0,0.0,0.0,2862.0,South Asia,Low income,26.0,3.0,1.09,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-15,0.0,0.0,0.0,0.0,2862.0,South Asia,Low income,0.0,2.0,1.08,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Afghanistan,AFG,2021-03-16,54000.0,54000.0,0.0,0.0,2862.0,South Asia,Low income,10.0,1.0,1.11,2.581,0.5,38928341.0,54.422,18.6,1803.987,597.029,9.59,64.83,0.511,0.0,1
Albania,ALB,2021-01-10,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,Upper middle income,562.0,8.0,1.09,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-11,0.0,0.0,0.0,0.0,64.0,Europe & Central Asia,Upper middle income,376.0,6.0,1.08,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-12,128.0,128.0,0.0,0.0,64.0,Europe & Central Asia,Upper middle income,656.0,5.0,1.08,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-13,188.0,188.0,0.0,60.0,63.0,Europe & Central Asia,Upper middle income,707.0,4.0,1.07,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-14,266.0,266.0,0.0,78.0,66.0,Europe & Central Asia,Upper middle income,660.0,5.0,1.06,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-15,308.0,308.0,0.0,42.0,62.0,Europe & Central Asia,Upper middle income,641.0,4.0,1.05,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-16,369.0,369.0,0.0,61.0,62.0,Europe & Central Asia,Upper middle income,581.0,5.0,1.03,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-17,405.0,405.0,0.0,36.0,58.0,Europe & Central Asia,Upper middle income,474.0,7.0,1.02,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-18,447.0,447.0,0.0,42.0,55.0,Europe & Central Asia,Upper middle income,292.0,4.0,1.03,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-19,483.0,483.0,0.0,36.0,51.0,Europe & Central Asia,Upper middle income,586.0,6.0,1.06,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-20,519.0,519.0,0.0,36.0,47.0,Europe & Central Asia,Upper middle income,670.0,4.0,1.09,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-21,549.0,549.0,0.0,30.0,40.0,Europe & Central Asia,Upper middle income,678.0,5.0,1.12,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-22,0.0,0.0,0.0,0.0,34.0,Europe & Central Asia,Upper middle income,739.0,7.0,1.15,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-23,0.0,0.0,0.0,0.0,26.0,Europe & Central Asia,Upper middle income,786.0,7.0,1.17,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-24,0.0,0.0,0.0,0.0,21.0,Europe & Central Asia,Upper middle income,833.0,5.0,1.19,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-25,0.0,0.0,0.0,0.0,15.0,Europe & Central Asia,Upper middle income,538.0,9.0,1.19,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-26,0.0,0.0,0.0,0.0,9.0,Europe & Central Asia,Upper middle income,879.0,8.0,1.2,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-27,0.0,0.0,0.0,0.0,4.0,Europe & Central Asia,Upper middle income,876.0,7.0,1.19,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-28,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,Upper middle income,887.0,11.0,1.19,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-29,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,Upper middle income,896.0,8.0,1.19,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
