time,tweets,language,TB Subjectivity,TB Polarity,TB Sentiment
2021-04-01,Concerning the use of aborted baby tissue in the J J Covid vaccine The J J vaccine has sparked debate among some religious communities because it was developed from stem cells obtained during two abortions decades ago Evil is still evil even if it was decades ago,English,0.6375,-0.475,Negative
2021-04-01,imagine an animal getting the covid 19 vaccine b4 a human,English,0.1,0.0,Neutral
2021-04-01,Definition of a microstate Source of vaccine data,English,0.0,0.0,Neutral
2021-04-01,If I ve Had COVID 19 Do I Still Need Two Doses of Vaccine,English,0.0,0.0,Neutral
2021-04-01,My epidural was delayed again somehow my covid vaccine does not interact well with an epidural SOOOOO I should be getting it on my birthday Yay So far I have 1 2 dr appointments a week this entire month On the upside they ve given me proper muscle relaxers this time,English,0.5750000000000001,0.03333333333333333,Positive
2021-04-01,Blake Lively hilariously called out her husband Ryan Reynolds for what he posted after they got their COVID 19 vaccine shots,English,1.0,0.5,Positive
2021-04-01,Yates Maths Tests 1 Vax deployment 2 Vax reduces hospitalisation 3 Infection rates unsubstantiated pressure on NHS 4 Variants of concern So not measured but very conservative,English,0.3,0.2,Positive
2021-04-01,Here s how you can be forced to get the Covid vaccine in the US,English,0.2,-0.30000000000000004,Negative
2021-04-01,I received my second dose of the Covid 19 vaccine today I m grateful and hopeful for a return to normalcy on the horizon I want to thank everyone working so hard to get folks vaccinated Get your vaccine here GetYourShot vaccinated,English,0.2708333333333333,-0.14583333333333334,Negative
2021-04-01,Ok how many times has this How do we have vaccine clinics in areas where Covid cases are highest Or most important paid sick leave Please Mr Matlow what we can we the ordinary citizen do It seems you are unable to do anything I am pleading with you do something,English,0.6224489795918368,0.06224489795918364,Positive
2021-04-01,Ongoing trial shows Pfizer Covid 19 vaccine remains highly effective after six months,English,0.8,0.6,Positive
2021-04-01,tx J when will the children ages 1 12 Covid vaccine trial be completed 3 boys aged 5 to 9 waiting with rolled up sleeves GetTheShot GetVaccinated COVID19,English,0.4,-0.1,Negative
2021-04-01,Over 5M Canadians given at least one COVID 19 vaccine dose as rollout picks up steam,English,0.4,-0.3,Negative
2021-04-01,Exercise is NOT a vaccine I have students who are young and healthy but got Covid They survived but now have ongoing lung problems Everyone needs to vaccinate,English,0.45,0.3,Positive
2021-04-01,Spain s Madrid region halts COVID 19 vaccinations at health centers for four days so medical staff can rest over the Easter holiday despite pleas from the national government not to pause the fight against surging infections,English,0.0,0.0,Neutral
2021-04-01,UNC has been home to some particularly hungry lab mice as starting in August of 2015 right as Dr Baric was mastering the creation chimeric SARS like coronaviruses in the lab the kind of thing you might want as a template for a live attenuated vaccine,English,0.4738095238095238,0.23774891774891768,Positive
2021-04-01,Vermont has different formal eligibility rules based on whether you are a BIPOC household,English,0.6,0.0,Neutral
2021-04-01,COVID cases spiking in Massachusetts more communities now at high risk B 1 1 7 is widespread in Massachusetts and is circulating within communities It is critical to do everything possible to keep variants of concern from becoming more widespread,English,0.6983333333333333,0.26833333333333337,Positive
2021-04-01,The best covid vaccine is whatever you get as opposed to not getting one Why you can t compare Covid 19 vaccines via,English,0.3,1.0,Positive
2021-04-01,mishra21 Y all better have your two doses of Covid vaccine because we re passing this around if I m buying,English,0.5,0.5,Positive
