time,tweets,language
2021-04-01,"Concerning the use of aborted baby tissue in the J&amp;J Covid vaccine:

“The J&amp;J vaccine has sparked debate among some religious communities because it was developed from stem cells obtained during two abortions decades ago.”

Evil is still evil, even if it was decades ago.",English
2021-04-01,imagine an animal getting the covid-19 vaccine b4 a human,English
2021-04-01,"Definition of a microstate: https://t.co/8N0R8Mhl73

Source of vaccine data: https://t.co/0RQFJPTrZZ",English
2021-04-01,"If I’ve Had COVID-19, Do I Still Need Two Doses of Vaccine? https://t.co/08AiBgfEHQ",English
2021-04-01,"My epidural was delayed again, somehow my covid vaccine does not interact well with an epidural. SOOOOO I should be getting it on my birthday. Yay. 

 So far I have 1-2 dr appointments a week this entire month.
  
On the upside they've given me proper muscle relaxers this time.",English
2021-04-01,Blake Lively hilariously called out her husband Ryan Reynolds for what he posted after they got their COVID-19 vaccine shots https://t.co/GixfzNnHBc,English
2021-04-01,"@Kit_Yates_Maths Tests
1. Vax deployment ✅✅
2. Vax reduces hospitalisation ✅✅
3. Infection rates unsubstantiated pressure on NHS ✅
4. Variants of concern ☑️

So not measured but very conservative 
https://t.co/iVMKF2pPsF https://t.co/ta4t21HH9s",English
2021-04-01,Here’s how you can be forced to get the Covid vaccine in the US https://t.co/dparLwxbq2,English
2021-04-01,"I received my second dose of the Covid-19 vaccine today. I’m grateful, and hopeful for a return to normalcy on the horizon. I want to thank everyone working so hard to get folks vaccinated. Get your vaccine here: https://t.co/YAl9dOBkLo #GetYourShot #vaccinated https://t.co/WH5AdwbgkP",English
2021-04-01,"@JoshMatlow Ok how many times has this How do we have vaccine clinics in areas where Covid cases are highest ?
Or most important paid sick leave?
Please Mr Matlow what we can we the ordinary citizen do? It seems you are unable to do anything?  I am pleading with you do something!",English
2021-04-01,"Ongoing trial shows Pfizer Covid-19 vaccine remains highly effective after six months

https://t.co/ZdwMrnJNBg",English
2021-04-01,@Pfizer @moderna_tx @FDA @J&amp;J @AstraZeneca when will the children ages 1-12 Covid vaccine trial be completed? 3 boys aged 5 to 9 waiting with rolled up sleeves. #GetTheShot #GetVaccinated #COVID19,English
2021-04-01,Over 5M Canadians given at least one COVID-19 vaccine dose as rollout picks up steam https://t.co/zk9dQd3mRU,English
2021-04-01,@Bobbyyo48025095 @mtgreenee Exercise is NOT a vaccine. I have students who are young and healthy but got Covid. They survived but now have ongoing lung problems. Everyone needs to vaccinate,English
2021-04-01,"Spain’s Madrid region halts COVID-19 vaccinations at health centers for four days so medical staff can rest over the Easter holiday, despite pleas from the national government not to pause the fight against surging infections. https://t.co/m6bKky2u1C",English
2021-04-01,"“UNC has been home to some particularly hungry lab mice, as starting in August of 2015, right as Dr. Baric was mastering the creation chimeric SARS-like coronaviruses in the lab –the kind of thing you might want as a template for a live-attenuated vaccine” https://t.co/m7D3nG4Yvt",English
2021-04-01,"@ZaidJilani Vermont has different formal eligibility rules based on whether you are a BIPOC household. 

https://t.co/eZbrFlIBsS",English
2021-04-01,"COVID cases spiking in Massachusetts, more communities now at high-risk

""... B.1.1.7 is widespread in Massachusetts and is circulating within communities...It is critical to do everything possible to keep variants of concern from becoming more widespread""
https://t.co/4u2WNwhsjp",English
2021-04-01,"The best covid vaccine is whatever you get, as opposed to not getting one ... Why you can’t compare Covid-19 vaccines https://t.co/ZJS2yquQcO via @voxdotcom",English
2021-04-01,@DarkCarniVol @s_mishra21 @FancyFace1111 @80suburbia Y’all better have your two doses of Covid vaccine - because we’re passing this around if I’m buying https://t.co/ZJA9RekObe,English
2021-04-01,"3 things to know about HHS' COVID-19 vaccine ad campaign, leadership group https://t.co/uC0Q8ICo0a https://t.co/krRe0lGErR",English
2021-04-01,We've got COVID-19 vaccine appointments open at Twin Falls and Boise this Saturday! https://t.co/eeBNIpe6XH,English
2021-04-01,Garda unrest over vaccine rollout as 100 receive surplus Covid jabs https://t.co/qdohN860rt,English
2021-04-01,Over 5M Canadians given at least one COVID-19 vaccine dose as rollout picks up steam https://t.co/Fq0V57MCUG https://t.co/MNNBFW8pjq,English
2021-04-01,@SegunOjo3 @SirMcAwesome247 @MobilePunch @dabiodunMFR  your excellence if u cannot rehabilitate do patch patch oun eba she loni Itan ni Lola #Covid_19 vaccine only circulating to Ota,English
2021-04-01,"@EandM4ever @teddering @mtgreenee Btw. There’s two CDC pages that state continue to wear masks. Go away id1ot. You’re out of your wheelhouse. 🤷🏽‍♂️ vaccinated-heres-why-you-shouldnt-stop-wearing-your-face-mask-yet/

https://t.co/6bzHumaPWN

https://t.co/elq70yrTo5

https://t.co/PRoGslntD7

https://t.co/g6pq1Uf8bz",English
2021-04-01,My mom got her first covid vaccine today!!! 🙌🏼 https://t.co/TfhWs6uOk3,English
2021-04-01,@drharshvardhan @narendramodi @PMOIndia Stop flattering Modiji and work for covid! Open  vaccine for ALL ASAP,English
2021-04-01,He rly just said if you get covid once you can’t ever get it again and getting a vaccine means you have to get vaccines forever so it’s dumb... I wasn’t even arguing back I was just like ok but he kept going like shut up,English
